// Banco de dados para os atr;ibutos dos itens (9 colunas)
//Classe: 1-Guerreiro,2-Mago,3-Ladino,-1-Todos(default)
//tipo:0-N EQUIPAVEL,1-ARMA,2-ARMADURA,3-BOTAS,4-CAPACETE,5-ESCUDO
// Configuração do banco:id;dano;atrbArm;atrbForca;atrbVital;atrbSorte;atrbDestr;atrbCaris;atrbIntel;classe;tipo
1;0;0;0;0;0;0;0;0;-1;0
2;0;0;0;0;0;0;0;0;-1;0
3;0;0;0;0;0;0;0;0;-1;0
4;0;0;0;0;0;0;0;0;-1;0
5;0;0;0;0;0;0;0;0;-1;0
6;0;0;0;0;0;0;0;0;-1;0
7;0;0;0;0;-2;0;0;0;-1;0
8;0;0;0;0;0;0;0;0;-1;0
9;0;0;0;0;0;0;0;0;-1;0
10;0;1;0;0;0;0;0;0;1;2
11;0;2;0;0;0;0;0;0;1;5
12;0;0;0;0;0;0;0;0;-1;0
13;0;0;2;0;0;0;0;0;-1;0
14;0;0;0;0;0;0;0;0;-1;0
15;0;0;0;0;0;0;0;0;-1;0
16;3;0;0;0;0;0;0;0;3;0
17;20;0;1;0;0;0;0;0;1;1 
18;20;0;2;0;0;0;0;0;1;1
19;12;0;0;0;0;1;0;0;3;1
20;12;0;0;0;0;2;0;0;3;1
21;0;0;0;0;0;0;0;2;2;1
22;0;0;0;0;0;0;0;4;2;1
23;0;0;0;0;0;0;0;0;-1;0
24;0;0;0;0;0;0;0;0;-1;0
25;0;0;0;0;0;1;0;0;-1;3
26;0;0;0;0;0;3;0;0;-1;3
27;0;1;0;0;0;0;0;0;1;2
28;0;3;0;0;0;0;0;0;1;2
29;0;5;0;0;0;0;0;0;1;2
30;10;0;1;0;0;0;0;0;1;1
31;10;0;2;0;0;0;0;0;1;1
