// Banco de dados para os atributos dos itens (9 colunas)
//Classe: 1-Guerreiro,2-Mago,3-Ladino,4-Todos(default)
//tipo:0-N EQUIPAVEL,1-ARMA,2-ARMADURA,3-BOTAS,4-CAPACETE,5-ESCUDO
// Configuração do banco:id;dano;atrbArm;atrbForca;atrbVital;atrbDestr;atrbIntel;classe;tipo
1;0;0;0;0;0;0;-1;0
2;0;0;0;0;0;0;-1;0
3;0;0;0;0;0;0;-1;0
4;0;0;0;0;0;0;-1;0
5;0;0;0;0;0;0;-1;0
6;0;0;0;0;0;0;-1;0
7;0;0;0;0;0;0;-1;0
8;0;0;0;0;0;0;-1;0
9;0;0;0;0;0;0;-1;0
10;0;2;0;0;0;0;2;2
11;0;3;0;0;0;0;1;5
12;0;0;0;0;0;0;-1;0
13;0;0;2;0;0;0;-1;0
14;0;0;0;0;0;0;-1;0
15;0;0;0;0;0;0;4;0
16;3;0;0;0;0;0;3;0
17;20;0;1;0;0;0;1;1 
18;20;0;2;0;0;0;1;1
19;12;0;0;0;1;0;3;1
20;12;0;0;0;2;0;3;1
21;0;0;0;0;0;3;2;1
22;0;0;0;0;0;4;2;1
23;0;0;0;0;0;0;-1;0
24;0;0;0;0;0;0;-1;0
25;0;0;0;0;1;0;4;3
26;0;0;0;0;2;0;-1;3
27;0;1;0;0;0;0;1;2
28;0;2;0;0;0;0;1;2
29;0;3;0;0;0;0;1;2
30;10;0;1;0;0;0;1;1
31;10;0;2;0;0;0;1;1
32;15;0;0;0;1;0;3;1
33;15;0;0;0;2;0;3;1
34;0;0;0;0;0;0;0;0
35;5;0;0;0;0;0;1;1
36;0;1;0;0;0;0;1;2
37;5;0;0;0;0;1;2;1
38;5;0;0;0;0;0;3;1
39;0;1;0;0;0;1;2;2
40;0;1;1;0;0;0;1;4
41;0;1;0;0;0;1;2;4
42;0;1;0;0;0;5;4;4
43;0;1;0;0;2;0;3;4
44;0;2;0;0;3;0;3;4
45;0;1;0;0;2;0;3;4
46;0;2;0;0;5;0;3;4
47;0;1;0;0;0;0;1;5
